HashID|Product|SKU|Brand|MPN
00-9-6-2|HYDRONORMA VALVE HYD DBDS10K18/400 (DIEFFENBACHER N DBDS10K18/400|CQ5-27700212|HYDRONORMA|DBDS10K18/400
00-4-B-1|VYNCKIER CIRCUIT BREAKER 63A 2 POLE 415V VYNCKIER SERIE G 63A|CQ5-55500884|VYNCKIER|SERIE G 63A
00-1-A-F|SKF Bearing NU 310[manfcode=1116 4268 00][ma NU310|CSA-13010199|SKF|NU310
00-0-A-9|CRESCENT P-Tape CTZE231 CTZE231 185.873|PHS-SE18041|CRESCENT|CTZE231 185.873
00-F-9-D|JUBILEE Jubilee Superclamp Mild Steel 253-265mm 253-265|PFO-1010948|JUBILEE|253-265
00-F-1-7|HANDTMANN SHAFT BEARING BOTTOM 857944|PH8-10002090|HANDTMANN|857944
00-3-7-0|DRR SYSTEMS GMBH APT DURR: 3/2 WAY SOLENOID VALVE 2-F.NC LP04 M54210090|CJL-77267877|DRR SYSTEMS GMBH APT|M54210090
00-3-5-E|SKF SIMPLE LINK ST.ST. 8MM 05B-1SS-NO26 05B-1SS-C/L-*SKF|PAJ-77912|SKF|05B-1SS-C/L-*SKF
00-0-5-2|SHERWOOD DRILL JOBBER - 11.00 SHR0250177M|CSA-99022147|SHERWOOD|SHR0250177M
00-1-1-E|LISEC (UK) LTD TYRE COVER TRANSPORT ROLLER 57 X 80 7436304|7436304|LISEC (UK) LTD|7436304
00-E-0-8|TRACKFIT CHAIN CATERPILLAR TYPE T500 554294 554294|PCH-10208199|TRACKFIT|554294
00-1-A-0|STANLEY ENGINEERED FASTENING SPRING: ROTARY PRESSURE 3. M094103 M094 103|CJL-76410739|STANLEY ENGINEERED FASTENING|M094 103
00-D-C-5|MOELLER SWITCH SPRING LOADED M22-WKV|PRE-10001412|MOELLER|M22-WKV
00-3-6-7|OILITE BRASS BUSH 26 OD 20ID 20MM LGTH OBM202620|GRGS002679|OILITE|OBM202620
ALL-1-7-2|SLS NEEDLES NON STERILE SERUM NO 1 SYR5242 SYR5242|CMC-S0565567 LAB S|SLS|SYR5242
00-9-5-A|NORGREN SXE0575-A50-00/18J , SXE0575-A50-00/18J SXE0575-A50-00-18J|PFO-10001272|NORGREN|SXE0575-A50-00-18J
00-D-5-5|IFM PROXY SWITCH: 20MM RANGE INDUCTIVE IM5124|CJL-76125743|IFM|IM5124
ALL-3-F-8|ADRAY PLASTICS L405 / 494 REAR LH 2 PIECE BLOCK LARGE L405 / 494 REAR LH 2 PIECE ALU|CJL-77267509|ADRAY PLASTICS|L405 / 494 REAR LH 2 PIECE ALU
ALL-1-F-C|PROSEAL GT1 Arm Plate Location Bushes. Stainless Z00093|PFT-FAS-0022|PROSEAL|Z00093
00-B-F-D|SIEMENS Micromaster 4 Advanced Operator Panel (A 6SE6400-0AP00-0AA1|PFO-10005045|SIEMENS|6SE6400-0AP00-0AA1
00-D-A-4|ARCO ESSENTIALS Safety Shoe Black S2 Size 6 665106|CPR-9000112|ARCO ESSENTIALS|665106
00-A-9-A|HARTING Connector Bulk Hd Mt Harting 09300160301 9300160301|CPR-8062691|HARTING|9300160301
00-A-9-6|IMA BUSHING PA1080378 PA1080378|PHS-SE15713|IMA|PA1080378
00-F-D-0|ALEXANDERWERTH SEAL,RING,SIDE,145664 145664|PHS-SD89961|ALEXANDERWERTH|145664
00-5-A-9|BOBST TRIGGER POINT CIRCUIT 701KZ|65-30-0024|BOBST|701KZ
00-0-D-0|THORITE LTD HOSE AIR 6MMIDX8MMODX30MLG PTFE FTK-TPTP TPTPE08-060|PCH-10188617|THORITE LTD|TPTPE08-060
00-9-F-F|BILWINCO Centre cone leaf spring 011A5592|P87-OEM-06530|BILWINCO|011A5592
00-4-C-0|JAYLOW 3183YA1.5Y100 3183Y 1.5mm 3183YA1.5Y100|PFO-10000252|JAYLOW|3183YA1.5Y100
00-0-9-D|ABB MOTOR 3 PHASE IP55 220-480V 50-60HZ 1410 M2AA80D 3GAA082214-BSE|PRE-10003604|ABB|M2AA80D 3GAA082214-BSE
00-E-E-D|GE POWER CONTROLS DIN RAIL ADAPTOR 414 - 213 RS COMP DIN-20-32|GBC-ELE-0238|GE POWER CONTROLS|DIN-20-32
ALL-3-7-6|TC LTD THERMOCOUPLE SIMPLEX TYPE K TC LTD TYPE K|CJL-85000757|TC LTD|TYPE K
00-B-A-2|KENNEDY WRENCH COMBINATION 10MM KENNEDY 582-261 KEN5822610K|PCH-10187563|KENNEDY|KEN5822610K
00-7-A-B|ANDRON SPITFIRE CLAMP GUIDE 20668-01-D343-LH|CJL-77050374|ANDRON|20668-01-D343-LH
00-8-0-7|V INSTALLATIONS PLUMMER BLOCK SNL513-611|CJL-77050072|V INSTALLATIONS|SNL513-611
00-0-7-E|ECS CONTRAST PLATE 629.600.A09|CJL-77049934|ECS|629.600.A09
ALL-A-B-0|SCHENCK CLICK-STOP PLATE SCHENCK B043664.01 B014256.01|CJL-96000040|SCHENCK|B014256.01
ALL-F-7-B|DURR DRIVE WHEEL ASSY 100450347 DURR 100450347|CJL-83001996|DURR|100450347
ALL-2-3-9|TUCKER CLAMP BLOCK M177 384 M177 384|CJL-76409629|TUCKER|M177 384
ALL-7-B-5|ERVOR GASKET KIT BP  8970381 ERVOR 8970381|CJL-86000814|ERVOR|8970381
00-1-5-8|TED SHACKLE,DEE,SS,SSD/10 MTL9784350K|PHS-SC52580|TED|MTL9784350K
00-7-0-B|GLACIER Bush DU3020 TFP3020|CPR-8040662|GLACIER|TFP3020
00-0-B-4|RENOLD ACCUGLIDE CONNECT LINK C2050NO.26-RENOLD C2050NO.26|CPR-8027144|RENOLD|C2050NO.26
00-6-5-9|AMRI STAR DRIVE FOR ACTAIR 3 1.95064E+006|CCA-1528134|AMRI|1.95064E+006
00-8-3-C|FORBO BELT 8165X80 E12/2UOG20AR NOW E 8/2 U0/V 906764|CQ5-51100013|FORBO|906764
00-F-2-D|PHOENIX CONTACTOR 24V PHOENIX C/W COIL 2967620 P 2967772|CQ5-93400008|PHOENIX|2967772
00-5-A-9|MULTIVAC HEATING ELEMENT TUBULAR 2DA MULTIVAC MUL MUL-19188101069|CT7-80025558|MULTIVAC|MUL-19188101069
00-5-9-A|UNISTRUT GALVANISED JACK CHAIN NO.10, UNISTRUT, P P2785/6|PTX-1001488|UNISTRUT|P2785/6
00-5-4-4|SICK SICK SENSOR PROXY NT6-03022 1005822 SICK NT6-03022|CBU-556862|SICK|NT6-03022
00-E-D-9|FESTO Festo H22-SW H22-SW|P79-PNE-00420|FESTO|H22-SW
140004-5-3-D|FSB BEARING UC205 UC205|P81-POW-07440|FSB|UC205
00-B-9-D|ZZZCUSTPO Piston Set SCA DIRECT|GBO-680-030|ZZZCUSTPO|SCA DIRECT
00-C-1-1|Broyce Control Engineering TIMER, 1 SEC ON PULSE, 0.5-10sec, SPDT M1EIN 24VAC/DC/230VAC .5-10SE|510428|Broyce Control Engineering|M1EIN 24VAC/DC/230VAC .5-10SE
ALL-4-E-8|RS COMPONENTS BLANKING PLUG M16 406-9306|P83-ELE-07779|RS COMPONENTS|406-9306
00-E-6-5|STANLEY ENGINEERED FASTENING KIT HOUSING DDC Z290 006 Z290 006|CJL-76408198|STANLEY ENGINEERED FASTENING|Z290 006
00-3-3-C|244-945 VALVE 8 BAR 244-945|GRGS010265|244-945|244-945
00-6-B-E|ALLEN BRADLEY BLOCK-CONT:AUX,100FA11,1NO/1NC,FRONT MTD 100FA11|CST-C0358050903070|ALLEN BRADLEY|100FA11
00-3-8-4|TE CONNECTIVITY 10MM IDSIDE ENTRY CONNECTOR HOOD TE CON 1-1102289-6|PMZ-1008275|TE CONNECTIVITY|1-1102289-6
00-C-0-E|MONOPUMP (W35023750R4) OIL SEAL 00D701350|42-20-0133|MONOPUMP|00D701350
00-4-8-9|AEG TURNBUCKLE: AEG 59222632 59222632|CJL-77272499|AEG|59222632
00-9-1-A|DALMEC VALVE: IMPULSE PREFERENTIAL VALVE D4 00.79.0128|PGM-19240159|DALMEC|00.79.0128
00-E-2-3|ACORN HaIoila motor KAF19DDRS71S4/MM03 KAF19DDRS71S4/MM03|P29.CSA-11413828|ACORN|KAF19DDRS71S4/MM03
00-6-6-A|NEWLEC LGT FTNG-LOW-BAY:80W,LED,LBW1C1D-EU,100- RXL-IND165-C10 13000LM 100W HI|CST-80112567|NEWLEC|RXL-IND165-C10 13000LM 100W HI
00-A-2-0|CORDELLE IND BRACKET: BANANA BRACKET LONG CORDELLE M9701|PGM-90427162|CORDELLE IND|M9701
00-B-2-E|BHS BODY FOR JOHNSON JOINT 32501L2|43-40-0007|BHS|32501L2
SPRING-B-0-C|BOBST COMPRESSION SPRING MACH=BOBST|44-99-0081|BOBST|MACH=BOBST
SWITCH-7-2-B|DIG 250V 15A TOK/DRUM SWITCH FOR ZLM/ZLR MACH=FLEXO|76-99-0012|DIG|MACH=FLEXO
00-9-4-A|NORELEM NORMELEMENTE KG CYL HEAD SCREW NLM 07534-20X50 B31257196|CJL-10006399|NORELEM NORMELEMENTE KG|B31257196
00-7-7-B|FESTO PLUG SOCKET 177617|CJL-10003599|FESTO|177617
00-A-6-1|IMO POWER SUPPLY 24VDC 18W IMO DPS-1-018-24 DPS-1-018-24|PT6-80014381|IMO|DPS-1-018-24
00-5-F-2|DRAGON (BLACKWELL) HYDRAULICS Ref. BH07525 Hose BH 07525|GBO-310-122|DRAGON (BLACKWELL) HYDRAULICS|BH 07525
00-A-3-0|FLO-MECH 0301039 Gate (Zacmi) 0301039|PDX-E510830|FLO-MECH|0301039
00-E-4-7|CAMFIL Filter Panel 596 x 596 x 47mm PPHC2.2424|CBS-204390|CAMFIL|PPHC2.2424
ALL-0-4-0|REKOFA MODULE: SURFACE SLIPRING MODULE. CONTACT F 2247 (1447890)|CJL-77266544|REKOFA|F 2247 (1447890)
00-0-4-4|LEGRIS PNEUMATIC STRAIGHT ADAPTER 6MM PUSH IN L 3806 06 00|PMZ-1008228|LEGRIS|3806 06 00
00-7-A-7|RS PRO RED PIGGYBACK CRIMP, RS PRO, 534-367 534-367|PTX-2801|RS PRO|534-367
00-4-7-D|SUNVIC SIMMERSTAT H6 (SP ITEM) PT. NO. TYJ6303 TYJ6303|CBU-549921|SUNVIC|TYJ6303
00-8-F-0|FENNER DRIVES GEARBOX;96RPM,TYPE GM3T C/W MOTOR 803G1810D|CTS-91308134|FENNER DRIVES|803G1810D
00-2-D-D|ZIEGRA OEM-TRIPLE FINE FILTER ZIEGRA ZUK9700031 ZUK9700031|CT5-80011664|ZIEGRA|ZUK9700031
ALL-4-D-2|HENROB DIE:  DIE HENROB DF1002180H1R1.5 (0YQ) DF1002180H1R1.5 (0YQ)|PGM-90429059|HENROB|DF1002180H1R1.5 (0YQ)
00-A-C-6|SEW MOTOR: SEW MOTOR CMP63M/BK/KY/AK0H/SB1 CMP63M/BK/KY/AK0H/SB1 SN: 05.7|CJL-76147172|SEW|CMP63M/BK/KY/AK0H/SB1 SN: 05.7
00-5-7-1|RINGFLEX RINGFEEDER LOCKING ASSY NO.RFN RFN7012-1-7/16|802012|RINGFLEX|RFN7012-1-7/16
00-B-8-7|PHOENIX CONTACT CONNECTOR 25 X 23MM PHOENIX CONTACT B-10 B-10-16-46|PMZ-1008348|PHOENIX CONTACT|B-10-16-46
00-2-F-7|BROOK CROMPTON MOTOR;4KW,3000RPM,D112M,415VAC 4KW 2P WU-DA112M B3 IE2|CTS-91300291|BROOK CROMPTON|4KW 2P WU-DA112M B3 IE2
00-0-8-7|DR MARTENS DR MARTENS THORPE BOOT SIZE 9 THORPE BLACK SAFETY BOOT SZ 9|P35.PPE34|DR MARTENS|THORPE BLACK SAFETY BOOT SZ 9
00-8-6-2|FESTO FESTO ADN-100-60-KP-A-P-A / / 0833542 ADN-100-60-KP-A-P-A / / 083354|CJL-91002396|FESTO|ADN-100-60-KP-A-P-A / / 083354
00-A-C-1|SMC FILTER REGULATOR   SMC   AW40- AW40-F04DE-B|CPJ-78-58-80-114|SMC|AW40-F04DE-B
00-D-A-7|SIDEL CIRCLIP 20MM, 00000015117 15117|CCO-79249539|SIDEL|15117
00-F-4-5|AFC LEAF CHAIN 8630 10 X 55 EI - EI, EL1066 EL1066X55 AFC|PFO-10006180|AFC|EL1066X55 AFC
00-4-2-6|MK PLATE SWITCH 1 GANG TWO WAY 4170CRABTREE K4871 WHI|PGV-ELE-03610|MK|K4871 WHI
00-F-1-D|CTECH EUROPE LTD PLUSPAC 1000 IBC (1000LTR) 20-1400-50-01-0|P35.NS2010|CTECH EUROPE LTD|20-1400-50-01-0
00-9-5-8|P. GERRATT LTD NO 12 PURE YARN CLIP MOP HEAD 800.101.120|NCJ..02020|P. GERRATT LTD|800.101.120
00-2-2-3|AIRPRO HOSE REINFORCED CLEAR BLUE 12.5X18.5MM HDPVC12B|CT2-80094488|AIRPRO|HDPVC12B
00-D-2-6|SMC TRUNNION MOUNT SCM CL CG-T032|CT2-80074448|SMC|CG-T032
00-0-5-2|SIEMENS MODULE: CPU 315-2DP SIEMENS 6ES7315-2AF 6ES7315-2AF03-0AB0|CNH-116810|SIEMENS|6ES7315-2AF03-0AB0
MODULE-3-9-2|SCHNEIDER # MODULE: 16 POINT INPUT MODULE BASE 170ADI34000|PGM-2000005A|SCHNEIDER|170ADI34000
ALL-B-3-5|TIMKEN BEARING RHP 6206-2RS 6206-2RS|PKJ-P2289|TIMKEN|6206-2RS
AM02-F-9-8|EKATO o-ring  Ekato 20013288 20013288|PKG-10000769|EKATO|20013288
00-8-4-C|MADE FOR RS COMPONENTS CLAMP LEVER MALE W/BLACK HANDLE M5X20MM 478686|P74-STA-00110|MADE FOR RS COMPONENTS|478686
00-0-B-6|SKF GROOVED BALL BEARING 50X65X7 61810-2RZ|CJL-10001488|SKF|61810-2RZ
00-8-8-8|BHS SERVICES GMBH LINEAR DRIVE - 119112900 119112900|CSA-11410754|BHS SERVICES GMBH|119112900
00-4-A-1|PARKER SERIES 25 PLUG 0.5 INCH HOSETAIL LEGRIS-9085-25-13|834843|PARKER|LEGRIS-9085-25-13
00-E-2-4|TELEMECANIQUE CAT 721 BOX CONDUIT 15A A-BELCO QUOTE: 471-76178R|PHT-ELE-10780|TELEMECANIQUE|QUOTE: 471-76178R
00-A-3-6|PILZ SAFETY SWITCH PILZ PSEN 2.IP-34/2 1-10 506413|CPR-8017150|PILZ|506413
00-3-2-6|SKF AB RHP BEARING - PT NO: 1040-1-1/2G 1040-1-1/2|CND-50052725|SKF AB|1040-1-1/2
00-D-F-1|RS COMPONENTS HOLESAW 41MM 216-167|PHV-10250559|RS COMPONENTS|216-167
00-9-C-F|FINDER 250V 10A RELAY 60.13.8.230.0040|GBO-890-066|FINDER|60.13.8.230.0040
00-9-B-1|LENZE ETHERCAT BOARD EPCZEBKM3 MCETC MAC 00-0A-86-81-06-CD|PH8-10001508|LENZE|MCETC MAC 00-0A-86-81-06-CD
00-C-C-3|STANLEY ENGINEERED FASTENING DIE: SPR DIE. M260 416 M260 416|CJL-76342046|STANLEY ENGINEERED FASTENING|M260 416
00-7-2-A|CEF CABLES SY4.04C SY 4.0mm 4 Core 1950.02 SY4.04C|PFO-10001280|CEF CABLES|SY4.04C
00-1-6-3|NEWLEC STARTER LAMP 4 - 65W 240V 4-65W 240V NLFSUN1|PNB-1238284|NEWLEC|NLFSUN1
00-9-9-D|IKO CAM FOLLOWER CF8BUUR|GRGS014140|IKO|CF8BUUR
00-7-C-2|ALLEN NRADLEY closing button, grey, 800t-n1 CLOSING B 8007-N1|PLH-771405818|ALLEN NRADLEY|8007-N1
00-E-8-7|SHS PLUNGER SEAL SS687|42-99-0031|SHS|SS687
ALL-6-8-9|SEW MOTOR GEARBOX HORIZONTAL 50HZ 1380RPM 2 WA30 DRS71S4|PKJ-P4224|SEW|WA30 DRS71S4
00-F-3-7|MAREL BELT  0100-999-807041  DRIVE BELT ASSY 0100-999-807041|PKL-10000776|MAREL|0100-999-807041
ALL-1-E-C|NEUTEQ EUROPE COLLAR, INDEX NEUTEQ EUROPE 96D0124-18.0 96D0124-18.0|CJL-96001687|NEUTEQ EUROPE|96D0124-18.0
00-E-8-2|SNAP ON TOOLS WRENCH,OPEN END:15 DEG OFF SET,6-7MM,165 LTAM67|PCH-10157820|SNAP ON TOOLS|LTAM67
00-8-1-3|PEPPERL & FUCHS SENSOR, PEPPERL&FUCHS,MLV 4054G/47/67/92 MLV 40-54-G/47/67/92|PKG-EL1030051|PEPPERL & FUCHS|MLV 40-54-G/47/67/92
00-C-5-1|GRUNDFOS PUMP,NONSUBMERSIBLE CIR 230V60H (OEM HV) 59896786 PI|PKG-20536424|GRUNDFOS|59896786 PI
ALL-2-B-4|SKF RADIAL BALLBEARING 6007-2RS (35X62X14) 6 6007-2RS1-SKF|PKG-20535546|SKF|6007-2RS1-SKF
00-F-1-8|OPTIMA KUGLER Optima Kugler Cap Chuck Finger 10869976 FINGER 10869976|PKG-20536569|OPTIMA KUGLER|FINGER 10869976
ALL-2-3-5|MARKEM SMARTDATE 3M CABLE EN5564513|PKJ-P4515|MARKEM|EN5564513
00-E-7-1|RS RATCHET HANDLE M5x20 RS382-8047 479015|PKT-ENHERLAB0014|RS|479015
00-B-C-C|MOELLER GREEN FLUSH P/B M22-D-G+M22-A KM-M22-D-G+M22-A|PBH-ELE-01778|MOELLER|KM-M22-D-G+M22-A
00-5-E-6|FLEXICON FLEXIBLE CONDIUT STEEL 20MM BLACK LTP20B|PKC-10233409|FLEXICON|LTP20B
ALL-F-C-2|MAREL 0100-999-541800 CHAIN WHEEL Z18 ROLLER 0100-999-541800 CHAIN WHEEL Z1|PKT-ENMARDRE0090|MAREL|0100-999-541800 CHAIN WHEEL Z1
ALL-9-D-0|GEA 3002328 SEAL GEA 3002328|PKU-10001166|GEA|3002328
00-6-A-4|BUSSMAN ELECTRICAL FUSE AAO25 FUSE 25A BS88 BUSS AAO25|PCH-10192772|BUSSMAN|AAO25
00-6-9-1|KRONES GASKET 0-124-50-307-0 0124503070|CCA-1545913|KRONES|0124503070
00-5-4-B|GRUNDFOS KIT PWTRGENERATORGASKETEPDMCR/I/N1S/1/3/ 96455090|506148|GRUNDFOS|96455090
00-E-A-3|HARTING STRAIGHT MALE 3 POLES HARAX21021511305 21021511305|PEY-119452|HARTING|21021511305
00-4-7-1|GENERIC M10 FORM B WASHERS A2 STAINLESS STEEL GENERIC|PFO-1010592|GENERIC|GENERIC
00-D-B-6|GENERIC 16mm x 25 Hex Set, Metal Mate GENERIC|PFO-10002442|GENERIC|GENERIC
00-4-3-A|VARIOUS 20mm Conduit Elbows, Various IE20G|PFO-10002537|VARIOUS|IE20G
